UNCTAD Investment Dispute Settlement Navigator,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,YEAR OF INITIATION,SHORT CASE NAME,FULL CASE NAME,APPLICABLE IIA,ARBITRAL RULES,ADMINISTERING INSTITUTION,STATUS/OUTCOME OF ORIGINAL PROCEEDINGS,RESPONDENT STATE,HOME STATE OF INVESTOR,ECONOMIC SECTOR,ECONOMIC SUBSECTOR,SUMMARY OF THE DISPUTE, DETAILS OF INVESTMENT,ARBITRATORS,DECISIONS,INDIVIDUAL OPINIONS DETAILS,AMOUNT CLAIMED (EXPRESSED IN MILLIONS),AMOUNT AWARDED (OR SETTLED FOR) (EXPRESSED IN MILLIONS),IIA BREACHES ALLEGED,IIA BREACHES FOUND,FOLLOW-ON PROCEEDING TYPE,FOLLOW-ON PROCEEDING STATUS,FOLLOW-ON DECISIONS,FOLLOW-ON INDIVIDUAL OPINIONS,ICSID ANNULMENT COMMITTEE MEMBERS,LINK TO ITALAW'S CASE PAGE,LINKS TO BACKGROUND SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023,Abertis v. Argentina (II),"Abertis Infraestructuras, S.A. v. Argentine Republic (II) (ICSID Case No. ARB/23/39)",Argentina - Spain BIT (1991),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Argentina,Spain,"Tertiary - F - Construction;
Tertiary - H - Transportation and storage","42 - Civil engineering;
52 - Warehousing and support activities for transportation",,,"Villanúa Gómez, D. - President; Eljuri, E. - Claimant; Malintoppi, L. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,None,None,None,No follow-up proceedings initiated,None,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/23/39;
https://www.iareporter.com/articles/spanish-highway-concessionaire-lodges-second-treaty-arbitration-against-argentina/;
https://globalarbitrationreview.com/article/argentine-highway-dispute-returns-icsid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023,Access v. Mexico,Access Business Group LLC v. United Mexican States (ICSID Case No. ARB/23/15),"NAFTA (1992);
USMCA (2018)",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Mexico,United States of America,"Primary - A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities","Claims arising out of the government’s decision to seize 280 hectares of agricultural land owned by the claimant and to transfer the land rights to El Ejido San Isidro, a group of local farmers.","Ownership of agricultural land operated by local subsidiary, Nutrilite S.R.L. de C.V., in San Isidoro in the state of Jalisco.","Kaufmann-Kohler, G. - President; Ferrari, F. - Claimant; Malintoppi, L. - Respondent",Data not available,Data not available,3000.00 USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
National treatment;
Direct expropriation",Pending,None,None,None,No follow-up proceedings initiated,None,https://www.italaw.com/cases/10529,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/23/15;
https://www.iareporter.com/articles/us-investor-in-agriculture-venture-files-nafta-legacy-claim-against-mexico/ ;
https://globalarbitrationreview.com/article/us-investor-hits-mexico-land-seizure-claim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023,AET v. Germany,Azienda Elettrica Ticinese v. Federal Republic of Germany (ICSID Case No. ARB/23/47),The Energy Charter Treaty (1994),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Germany,Switzerland,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,None,None,None,No follow-up proceedings initiated,None,Not available,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/23/47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,Amadeus v. North Macedonia,Amadeus Group and Amadeus Development DOOEL v. Republic of North Macedonia (ICSID Case No. ARB/23/35),"Albania - Macedonia, The former Yugoslav Republic of BIT (1997)",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,North Macedonia,Albania,Tertiary - F - Construction,41 - Construction of buildings,,,Data not available,Data not available,Data not available,110.00 USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Full protection and security, or similar;
Arbitrary, unreasonable and/or discriminatory measures;
Direct expropriation;
Indirect expropriation;
Other",Pending,None,None,None,No follow-up proceedings initiated,None,https://www.italaw.com/cases/10730,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/23/35;
https://www.iareporter.com/articles/construction-investors-lodge-icsid-claim-against-north-macedonia/;
https://globalarbitrationreview.com/article/albanian-group-brings-icsid-claim-against-north-macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023,Ambiente v. North Macedonia,FCL Ambiente S.r.l. v. Republic of North Macedonia (ICSID Case No. ARB/23/31),"Italy - Macedonia, The former Yugoslav Republic of BIT (1997)",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,North Macedonia,Italy,"Tertiary - E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",,Investment in a waste disposal enterprise.,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,None,None,None,No follow-up proceedings initiated,None,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/23/31;
https://globalarbitrationreview.com/article/italian-waste-investor-brings-claim-against-north-macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023,Amulsar v. Armenia,Amulsar Investor Ventures LLC v. Republic of Armenia (PCA Case No. 2023-66),Armenia - United States of America BIT (1992),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Armenia,United States of America,Primary - B - Mining and quarrying,7 - Mining of metal ores,,,"Walker, J. - President; Laird, I. A. - Claimant; Thomas, J. C. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,None,None,None,No follow-up proceedings initiated,None,Not available,"https://pca-cpa.org/en/cases/311/;
https://globalarbitrationreview.com/article/mining-investors-claim-against-armenia-underway;
https://www.iareporter.com/articles/treaty-based-mining-arbitration-against-armenia-surfaces-with-tribunal-already-in-place/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023,Andraous v. Netherlands,Abdallah Andraous v. Kingdom of the Netherlands (ICSID Case No. UNCT/23/3),Lebanon - Netherlands BIT (2002),UNCITRAL,ICSID (International Centre for Settlement of Investment Disputes),Pending,Netherlands,Lebanon,Tertiary - K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the decision of the Central Bank of Curaçao and Sint Maarten to take over companies that are part of the Ennia insurance group in which the claimant had invested, allegedly expropriating Ennia’s assets and depleting its value.","Investment in Ennia Caribe Holding NV (“Ennia”) via a 1% shareholding in Ennia’s parent company,
Parman International B.V., Curaçao.","Salomon, C. - President; Ziadé, N. - Claimant; Nunes Pinto, J. E. - Respondent",Data not available,Data not available,132.90 USD,Data not available,Data not available,Pending,None,None,None,No follow-up proceedings initiated,None,Not available,"https://www.uncitral.org/transparency-registry/registry/data/nld/abdallah_andraous_v._kingdom_of_the_netherlands.html;
https://www.iareporter.com/arbitration-cases/abdallah-andraous-v-the-netherlands/;
https://lindeborglaw.com/press-statement-lebanese-national-sues-the-kingdom-of-the-netherlands-for-over-130-million-us-dollars/;
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=UNCT/23/3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023,APMC v. United States,Alberta Petroleum Marketing Commission v. United States of America (ICSID Case No. UNCT/23/4),"NAFTA (1992);
USMCA (2018)",UNCITRAL,ICSID (International Centre for Settlement of Investment Disputes),Pending,United States of America,Canada,"Tertiary - H - Transportation and storage;
Tertiary - F - Construction","49 - Land transport and transport via pipelines;
42 - Civil engineering","Claims arising out of the incoming president’s executive order in 2021 revoking a 2019 presidential permit to construct the Keystone XL Pipeline, a proposed crude oil pipeline from Alberta (Canada) to Nebraska (United States).",Investment in the Keystone XL Pipeline project.,"McLachlan, C. A. - President; Drymer, S. L. - Claimant; Murphy, S. D. - Respondent",Data not available,Data not available,1300.00 CAD (961.40 USD),Data not available,"National treatment;
Most-favoured nation treatment;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Full protection and security, or similar;
Indirect expropriation",Pending,None,None,None,No follow-up proceedings initiated,None,https://www.italaw.com/cases/9081,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=UNCT/23/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023,Arbor Confections and others v. Mexico,"Arbor Confections Inc., Mark Alan Ducorsky and Brad Ducorsky v. United Mexican States (ICSID Case No. ARB/23/25)","NAFTA (1992);
USMCA (2018)",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Mexico,United States of America,Tertiary - L - Real estate activities,68 - Real estate activities,,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,None,None,None,No follow-up proceedings initiated,None,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/23/25;
https://globalarbitrationreview.com/article/confectioners-bring-denial-of-justice-claim-against-mexico;
https://www.iareporter.com/articles/mexico-faces-another-nafta-legacy-claim-at-icsid-over-a-food-production-venture/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
