pop2025,Iso code,density
185487,CUW,417.7635,,
180149,LCA,295.3262,,
168999,GUM,312.9611,,
136488,KIR,168.5037,,
132779,SYC,288.65,,
117303,GRD,345.0088,,
113683,FSM,162.4043,,
108147,ABW,600.8167,,
103989,JEY,866.575,,
103742,TON,144.0861,,
99924,VCT,256.2154,,
94209,ATG,214.1114,,
84138,VIR,242.4726,,
84118,IMN,147.5754,,
82904,AND,176.3915,,
75844,CYM,316.0167,,
65871,DMA,87.828,,
64555,BMU,1195.463,,
64477,GGY,1023.4444,,
56002,FRO,40.9971,,
55745,GRL,0.1358,,
46922,KNA,180.4692,,
46855,TCA,49.4251,,
46029,ASM,230.145,,
43923,SXM,1291.8529,,
43541,MNP,94.6543,,
40128,LIE,250.8,,
40126,GIB,5900.8824,,
39732,VGB,264.88,,
38341,MCO,19170.5,,
36282,MHL,201.5667,,
33572,SMR,559.5333,,
24941,MAF,498.82,,
17663,PLW,38.3978,,
14728,AIA,161.8462,,
13263,COK,55.2625,,
12025,NRU,601.25,,
11414,BLM,456.56,,
11194,WLF,40.854,,
9492,TUV,316.4,,
5574,SPM,23.0331,,
4359,MSR,42.7353,,
3469,FLK,0.285,,
2608,TKL,260.8,,
1821,NIU,6.977,,
501,VAT,1138.6364,
