Dataset,N,Predictors,Obs/Predictor,Train R²,Test R²,Test RMSE,Best kNN k,Best kNN RMSE,Best Model
Model A: Climate Cases,50,5,10.0,0.32805454505578424,0.14117656191590633,1.7575583474234941,3,1.6583619299216976,kNN (k=3)
Model B: ISDS Cases (All Sectors),113,5,22.6,0.09427473002094156,-0.1310597274292027,0.7380954221509856,5,0.7472786558346188,Linear Reg
