ISO3,Country,Corruption_Score,Press_Freedom_Score,Literacy_Rate_Pct,Rule_of_Law_Score_Pct,Total_Deal_Size,Avg_Deal_Size,Num_Deals,Prop_Agriculture,Prop_Mining,Climate_Cases,Prop_Climate_Decided,Prop_Climate_Agriculture,ISDS_Cases,Avg_Amount_Claimed,Total_Amount_Claimed,ISDS_Cases_Ag_Mining,Population,log_Population
SEN,Senegal,45.0,55.82,57.99999999999999,57.289066362272536,1938161.95,10309.372074468085,188.0,0.7659574468085106,0.11702127659574468,0.0,,,1.0,44.11,44.11,0.0,18932000.0,16.756364170008275
SGP,Singapore,84.0,47.88,97.0,73.0273946535808,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,5870750.0,15.585492951956061
SLB,Solomon Islands,43.0,,77.0,,218006.64,9083.61,24.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,838645.0,13.63954277314245
SLE,Sierra Leone,33.0,62.55,49.0,55.25864798935428,3729843.96,56512.78727272727,66.0,0.8333333333333334,0.15151515151515152,0.0,,,0.0,0.0,0.0,1.0,8819790.0,15.992508618175712
SLV,El Salvador,30.0,51.36,90.0,49.64718775404538,207.0,207.0,1.0,0.0,0.0,0.0,,,3.0,178.66666666666666,536.0,2.0,6365500.0,15.666403341483836
SOM,Somalia,9.0,44.24,41.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,19654700.0,16.79382705342983
SRB,Serbia,35.0,59.16,99.0,48.09472212934714,885134.5,7630.4698275862065,116.0,0.5344827586206896,0.3879310344827586,0.0,,,7.0,63.214285714285715,442.5,4.0,6689040.0,15.715980924049775
SSD,South Sudan,8.0,50.62,35.0,,3967209.0,158688.36,25.0,0.96,0.0,0.0,,,0.0,0.0,0.0,0.0,12188800.0,16.316028055266422
STP,Sao Tome and Principe,45.0,,94.0,,4917.0,4917.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,240254.0,12.389451976017561
SUR,Suriname,40.0,70.62,95.0,,68140.0,13628.0,5.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,639850.0,13.368989052865741
SVK,Slovakia,49.0,83.22,,,0.0,0.0,0.0,,,0.0,,,10.0,615.5,6155.0,2.0,5474880.0,15.51568091561842
SVN,Slovenia,60.0,70.59,100.0,64.21177213092889,0.0,0.0,0.0,,,0.0,,,3.0,203.33333333333334,610.0,2.0,2117070.0,14.565543615229297
SWE,Sweden,80.0,88.15,,91.62598824751475,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,568.9,568.9,0.0,10656600.0,16.181689976483472
SWZ,Eswatini,27.0,52.66,89.0,,71559.7,6505.427272727273,11.0,0.6363636363636364,0.09090909090909091,0.0,,,0.0,0.0,0.0,0.0,1256170.0,14.043577967169725
SYC,Seychelles,72.0,75.71,96.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,132779.0,11.796441370990083
SYR,Syria,12.0,27.22,86.0,,0.0,0.0,0.0,,,0.0,,,1.0,88.4,88.4,0.0,25620400.0,17.05889946711348
TCD,Chad,21.0,53.73,27.0,,21000.0,7000.0,3.0,0.3333333333333333,0.6666666666666666,0.0,,,0.0,0.0,0.0,0.0,21003700.0,16.86020917064417
TGO,Togo,32.0,63.06,67.0,,4500.0,2250.0,2.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9721610.0,16.08986180058027
THA,Thailand,34.0,55.24,94.0,53.46279579107712,262143.27,5349.862653061225,49.0,0.32653061224489793,0.0,0.0,,,1.0,162.8,162.8,1.0,71619900.0,18.086883526275557
TJK,Tajikistan,19.0,39.06,100.0,,909.0,909.0,1.0,1.0,0.0,0.0,,,2.0,119.8,239.6,2.0,10786700.0,16.193824451716537
TKM,Turkmenistan,17.0,25.82,99.0,,0.0,0.0,0.0,,,0.0,,,12.0,261.65000000000003,3139.8,2.0,7618850.0,15.846135997638294
TLS,Timor-Leste,44.0,84.49,,,2053000.0,128312.5,16.0,0.625,0.0,0.0,,,0.0,0.0,0.0,0.0,1418520.0,14.165124632532422
TON,,,71.29,99.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,103742.0,11.549662326686201
TTO,Trinidad and Tobago,41.0,76.54,98.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,1.0,1511160.0,14.228388125787891
TUN,Tunisia,39.0,50.11,84.0,57.533002202628126,6389.0,1597.25,4.0,0.75,0.0,0.0,,,1.0,67.8,67.8,1.0,12348600.0,16.329053254288606
TUR,Turkey,34.0,33.97,97.0,47.36824821320826,82532.21,4585.1227777777785,18.0,0.2222222222222222,0.0,1.0,0.0,1.0,13.0,3746.223076923077,48700.9,3.0,87685400.0,18.289265966858782
TWN,Taiwan,67.0,75.54,99.0,,0.0,0.0,0.0,,,4.0,0.25,0.75,0.0,0.0,0.0,0.0,23112800.0,16.95589713458246
TZA,Tanzania,41.0,44.02,82.0,54.61744134229054,1714203.59,13497.666062992126,127.0,0.7874015748031497,0.09448818897637795,0.0,,,5.0,66.76,333.8,6.0,70545900.0,18.071774119762175
UGA,Uganda,26.0,46.08,81.0,43.41433887665337,1350593.25,15347.650568181818,88.0,0.8181818181818182,0.07954545454545454,1.0,0.0,0.0,0.0,0.0,0.0,1.0,51384900.0,17.754854912946197
UKR,Ukraine,35.0,61.19,100.0,36.12442225458212,98782942.74,21710.536865934064,4550.0,0.9881318681318682,0.0,0.0,,,22.0,1067.2227272727273,23478.9,6.0,38980400.0,17.47856951366369
URY,Uruguay,76.0,70.33,99.0,70.38678255894597,1782808.6,16979.129523809526,105.0,0.9619047619047619,0.009523809523809525,0.0,,,4.0,930.8,3723.2,1.0,3384690.0,15.034772879632547
USA,United States,65.0,71.22,,76.85695671443429,0.0,0.0,0.0,,,969.0,0.0,0.5356037151702786,23.0,1803.4217391304346,41478.7,5.0,347276000.0,19.665630410805885
UZB,Uzbekistan,32.0,45.73,100.0,23.71280701002755,869553.46,13802.435873015873,63.0,0.9206349206349206,0.0,0.0,,,6.0,380.06666666666666,2280.4,2.0,37053400.0,17.427870673377196
VCT,Saint Vincent and the Grenadines,63.0,,97.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,99924.0,11.512165176023819
VEN,Venezuela,10.0,36.99,98.0,,300000.0,60000.0,5.0,1.0,0.0,0.0,,,45.0,1564.7355555555557,70413.1,22.0,28516900.0,17.166007451950396
VNM,Vietnam,40.0,24.58,96.0,40.39741491778947,1401682.7,6429.737155963303,218.0,0.23394495412844038,0.009174311926605505,0.0,,,6.0,1327.1666666666667,7963.0,0.0,101599000.0,18.436544250540532
VUT,Vanuatu,50.0,,89.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,335169.0,12.722390161213093
WSM,,,82.15,99.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,219306.0,12.298223293812828
XKX,,,68.38,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,
YEM,Yemen,13.0,32.78,70.0,,0.0,0.0,0.0,,,0.0,,,2.0,181.8,363.6,0.0,41773900.0,17.54778230056105
ZAF,South Africa,41.0,78.6,90.0,62.29821253822355,1591131.4,16926.929787234043,94.0,0.3829787234042553,0.010638297872340425,6.0,0.3333333333333333,0.5,1.0,375.0,375.0,1.0,64747300.0,17.9860025588328
ZMB,Zambia,39.0,59.41,88.0,50.809257417315465,2094243.12,21369.827755102044,98.0,0.7857142857142857,0.10204081632653061,0.0,,,0.0,0.0,0.0,0.0,21913900.0,16.902631696644193
ZWE,Zimbabwe,21.0,48.17,90.0,25.02011693899971,658089.0,26323.56,25.0,0.8,0.08,0.0,,,2.0,180.5,361.0,3.0,16950800.0,16.645825588317077
ZWE,Zimbabwe,21.0,48.17,90.0,25.02011693899971,658089.0,26323.56,25.0,0.8,0.08,0.0,,,2.0,180.5,361.0,3.0,16950800.0,16.645825588317077
