ISO3,Country,Corruption_Score,Press_Freedom_Score,Literacy_Rate_Pct,Rule_of_Law_Score_Pct,Total_Deal_Size,Avg_Deal_Size,Num_Deals,Prop_Agriculture,Prop_Mining,Climate_Cases,Prop_Climate_Decided,Prop_Climate_Agriculture,ISDS_Cases,Avg_Amount_Claimed,Total_Amount_Claimed,ISDS_Cases_Ag_Mining,Population,log_Population
CMR,Cameroon,26.0,45.58,78.0,30.843937252190063,14203277.19,68284.98649038462,208.0,0.9759615384615384,0.019230769230769232,0.0,,,2.0,556.0,1112.0,0.0,29879300.0,17.212676490912973
COD,Democratic Republic of the Congo,20.0,48.55,81.0,,17677025.0,129029.37956204379,137.0,0.8321167883211679,0.1386861313868613,0.0,,,1.0,21.5,21.5,1.0,112832000.0,18.54141054473968
COG,Congo,23.0,60.42,,,6773644.0,173683.1794871795,39.0,0.8974358974358975,0.05128205128205128,0.0,,,2.0,792.0,1584.0,3.0,6484440.0,15.684916018881445
COL,Colombia,39.0,45.23,96.0,54.59972126114335,3297414.34,16823.542551020408,196.0,0.4387755102040816,0.3469387755102041,9.0,0.7777777777777778,0.4444444444444444,16.0,2042.8999999999999,32686.399999999998,10.0,53425600.0,17.79380058980366
COM,Comoros,21.0,62.25,62.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,882847.0,13.690907191639425
CPV,Cabo Verde,62.0,75.72,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,527326.0,13.175574232097397
CRI,Costa Rica,58.0,80.2,98.0,,89975.0,6426.785714285715,14.0,0.6428571428571429,0.14285714285714285,0.0,,,12.0,97.60000000000001,1171.2,2.0,5152950.0,15.455079924177705
CSS,,,58.36,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,
CTU,,,61.73,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,
CUB,Cuba,41.0,29.0,100.0,,6100.0,3050.0,2.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10937200.0,16.207680380700406
CYP,Cyprus,56.0,68.62,99.0,,0.0,0.0,0.0,,,0.0,,,3.0,597.4,1792.1999999999998,0.0,1370750.0,14.130868593266294
CZE,Czechia,56.0,83.58,,,0.0,0.0,0.0,,,2.0,0.5,1.0,40.0,207.85225,8314.09,1.0,10609200.0,16.177232107181897
DEU,Germany,75.0,81.91,100.0,82.0533675870473,0.0,0.0,0.0,,,17.0,0.35294117647058826,0.47058823529411764,2.0,3270.0,6540.0,0.0,84075100.0,18.247221005004114
DJI,Djibouti,31.0,35.87,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1184080.0,13.98447665971107
DMA,Dominica,60.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,65871.0,11.095453562937447
DNK,Denmark,90.0,89.48,,92.75161761461734,0.0,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6002510.0,15.60768827304867
DOM,Dominican Republic,36.0,71.88,95.0,53.042032899169634,307650.6,61530.119999999995,5.0,0.2,0.4,0.0,,,10.0,239.01,2390.1,1.0,11520500.0,16.259638615067924
DZA,Algeria,34.0,45.74,81.0,,305807.0,20387.133333333335,15.0,1.0,0.0,0.0,,,7.0,3299.042857142857,23093.3,1.0,47435300.0,17.67487723523309
ECU,Ecuador,32.0,60.51,94.0,40.65828083819214,333087.58,11102.919333333333,30.0,0.1,0.43333333333333335,2.0,1.0,0.0,21.0,332.17619047619047,6975.7,15.0,18289900.0,16.72185955288354
EGY,Egypt,30.0,33.37,75.0,,449766.4,18740.266666666666,24.0,0.75,0.041666666666666664,0.0,,,26.0,925.0961538461538,24052.5,8.0,118366000.0,18.589292077013067
ERI,Eritrea,13.0,27.86,77.0,,3290.0,1645.0,2.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,3607000.0,15.098386959885676
ESP,Spain,56.0,75.37,99.0,75.28438321305492,0.0,0.0,0.0,,,2.0,0.5,0.0,42.0,246.2047619047619,10340.6,1.0,47890000.0,17.684417272318793
EST,Estonia,76.0,85.31,100.0,79.4741133706259,0.0,0.0,0.0,,,2.0,0.5,0.5,5.0,138.98,694.9,0.0,1344230.0,14.11133191637638
ETH,Ethiopia,37.0,47.7,52.0,36.004688664712056,3430220.66,11993.778531468532,286.0,0.8951048951048951,0.0034965034965034965,0.0,,,2.0,100.5,201.0,1.0,135472000.0,18.724275534864194
FIN,Finland,88.0,87.94,,89.10935164922829,0.0,0.0,0.0,,,2.0,1.0,0.5,0.0,0.0,0.0,0.0,5623330.0,15.542434573085638
FJI,Fiji,55.0,59.27,99.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,933154.0,13.746325525158376
FRA,France,67.0,78.72,100.0,79.733592234827,0.0,0.0,0.0,,,11.0,0.36363636363636365,0.6363636363636364,1.0,4972.0,4972.0,1.0,66650800.0,18.014977607517707
GAB,Gabon,27.0,58.12,86.0,,7842760.0,270440.0,29.0,0.896551724137931,0.06896551724137931,0.0,,,2.0,201.55,403.1,1.0,2593130.0,14.768376198242875
GBR,United Kingdom,71.0,78.51,100.0,78.51608444345767,0.0,0.0,0.0,,,50.0,0.62,0.26,0.0,0.0,0.0,0.0,69551300.0,18.057575167747824
GEO,Georgia,53.0,61.69,100.0,48.3662705945965,59475.0,1699.2857142857142,35.0,1.0,0.0,0.0,,,10.0,83.6,836.0,1.0,3806670.0,15.152265349180388
GHA,Ghana,42.0,65.93,80.0,72.42105836901067,1420307.8599999999,10925.445076923075,130.0,0.8076923076923077,0.046153846153846156,0.0,,,2.0,98.85,197.7,0.0,35064300.0,17.37269407682789
GIN,Guinea,28.0,59.51,45.0,,674308.0,33715.4,20.0,0.7,0.15,0.0,,,0.0,0.0,0.0,0.0,15099700.0,16.53018543403812
GMB,Gambia,38.0,71.06,59.0,,231200.0,77066.66666666667,3.0,0.6666666666666666,0.0,0.0,,,0.0,0.0,0.0,1.0,2822090.0,14.85298830316133
GNB,Guinea-Bissau,21.0,61.57,,,2964.0,1482.0,2.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2249520.0,14.626227418088476
GNQ,Equatorial Guinea,13.0,50.35,95.0,,0.0,0.0,0.0,,,0.0,,,1.0,600.0,600.0,0.0,1938430.0,14.477388925046489
GRC,Greece,49.0,55.2,98.0,64.14802718456681,0.0,0.0,0.0,,,0.0,,,3.0,2078.8333333333335,6236.5,0.0,9938840.0,16.11196087162155
GRD,Grenada,56.0,,99.0,,0.0,0.0,0.0,,,0.0,,,1.0,500.0,500.0,1.0,117303.0,11.67251560976209
GTM,Guatemala,25.0,48.12,84.0,52.440067786667285,786605.0,43700.27777777778,18.0,0.4444444444444444,0.3888888888888889,0.0,,,7.0,184.87142857142857,1294.1,1.0,18687900.0,16.743386813568375
GUY,Guyana,39.0,67.5,90.0,,1444074.88,180509.36,8.0,0.75,0.125,1.0,1.0,0.0,1.0,9.9,9.9,1.0,835986.0,13.636367145515132
HKG,Hong Kong,74.0,44.86,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,7396080.0,15.816460688088306
HND,Honduras,22.0,32.65,89.0,,21621.83,1544.4164285714287,14.0,0.07142857142857142,0.6428571428571429,0.0,,,2.0,625.9,1251.8,0.0,11005800.0,16.213932964530496
