Case URL,Case Filing Year for Action,Status,Case Categories,Geographies,agriculture,construction,education,energy_supply,enviromental_management,extractive,finance_insurance,fishing,forestry,informal,manufacturing,media,public,trade,transportation_logistics,water_management,num_sectors
https://www.climatecasechart.com/document/alton-coal-development-llc-v-united-states_704f,2023,Complaint filed.,Federal Statutory Claims;Other Statutes and Regulations,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/american-petroleum-institute-v-epa_2ee1,2024,Issues severed and held in abeyance.,Clean Air Act;Federal Statutory Claims;Industry Lawsuits;Other Regulation,USA;US-DC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/american-petroleum-institute-v-u-s-department-of-the-interior_0278,2022,Parties stipulated to dismiss action.,Federal Statutory Claims;Other Statutes and Regulations,USA;US-DC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/american-petroleum-institute-v-u-s-department-of-the-interior_bf13,2021,Parties stipulated to the dismissal of the plaintiffs' first supplemental and amended complaint.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-LA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/amorema-e-amoretgrap-vs-sustainable-carbon-and-others-carbon-credits-and-extractive-reserves_cbad,2021,Pending,"Carbon credits;Corporations;Suits against corporations, individuals",BRA;BR-PA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/anew-ventures-ii-llc-v-terra-global-investment-management-llc_110e,2025,"Opposition filed by plaintiff to motion for clarification of, or limited relief from, temporary restraining order (public version filed on November 6, 2025).",Carbon Offsets and Credits;Commercial,USA;US-DE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
https://www.climatecasechart.com/document/animal-legal-defense-fund-v-azar_ba1a,2020,Motions to dismiss denied.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.climatecasechart.com/document/animal-legal-defense-fund-v-foster-poultry-farms_5ab9,2020,Complaint filed.,Actions seeking adaptation measures;Adaptation;Other Types of State Law Cases;State Law Claims,USA;US-CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.climatecasechart.com/document/anne-arundel-county-v-bp-p-l-c_33cf,2021,Letter order issued directing the Clerk to remand the case to the Circuit Court for Anne Arundel County.,Actions seeking money damages for losses;Adaptation;Common Law Claims,USA;US-MD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
https://www.climatecasechart.com/document/anne-arundel-county-v-bp-p-l-c_a9b7,2021,Motions to dismiss granted.,Actions seeking money damages for losses;Adaptation;Common Law Claims,USA;US-MD,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3
https://www.climatecasechart.com/document/anne-arundel-county-v-bp-p-l-c_fde5,2021,Remand orders affirmed.,Actions seeking money damages for losses;Adaptation;Common Law Claims,USA;US-MD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
https://www.climatecasechart.com/document/appalachian-voices-v-state-corporation-commission_7b70,2022,State Corporation Commission's judgment affirmed.,Environmentalist Lawsuits;State Law Claims;Utility Regulation,USA;US-VA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
