ISO3,Country,Corruption_Score,Press_Freedom_Score,Literacy_Rate_Pct,Rule_of_Law_Score_Pct
NLD,Netherlands,78.0,87.0,,85.75948328477185
NOR,Norway,81.0,95.18,,89.81010532677112
NPL,Nepal,34.0,57.89,71.0,50.71240008264969
NZL,New Zealand,83.0,84.23,,86.7049475534139
OMN,Oman,55.0,37.87,97.0,
PAK,Pakistan,27.0,39.95,57.99999999999999,46.0622661990643
PAN,Panama,33.0,63.67,96.0,45.274245641799524
PER,Peru,31.0,52.74,94.0,63.81670762310051
PHL,Philippines,33.0,46.21,96.0,56.393620481692395
PNG,Papua New Guinea,31.0,67.62,64.0,
POL,Poland,53.0,67.66,100.0,78.40717800379142
PRK,"Korea, North",15.0,21.72,,
PRT,Portugal,57.0,84.6,97.0,71.32494127026034
PRY,Paraguay,24.0,55.96,95.0,
PSE,,,37.86,,
QAT,Qatar,59.0,55.28,94.0,
ROU,Romania,46.0,69.04,99.0,58.00372004120108
RUS,Russia,22.0,34.77,100.0,
RWA,Rwanda,57.0,46.58,76.0,
SAU,Saudi Arabia,59.0,32.43,98.0,
SDN,Sudan,15.0,40.83,61.0,
SEN,Senegal,45.0,55.82,57.99999999999999,57.289066362272536
SGP,Singapore,84.0,47.88,97.0,73.0273946535808
SLB,Solomon Islands,43.0,,77.0,
SLE,Sierra Leone,33.0,62.55,49.0,55.25864798935428
SLV,El Salvador,30.0,51.36,90.0,49.64718775404538
SOM,Somalia,9.0,44.24,41.0,
SRB,Serbia,35.0,59.16,99.0,48.09472212934714
SSD,South Sudan,8.0,50.62,35.0,
STP,Sao Tome and Principe,45.0,,94.0,
SUR,Suriname,40.0,70.62,95.0,
SVK,Slovakia,49.0,83.22,,
SVN,Slovenia,60.0,70.59,100.0,64.21177213092889
SWE,Sweden,80.0,88.15,,91.62598824751475
SWZ,Eswatini,27.0,52.66,89.0,
SYC,Seychelles,72.0,75.71,96.0,
SYR,Syria,12.0,27.22,86.0,
TCD,Chad,21.0,53.73,27.0,
TGO,Togo,32.0,63.06,67.0,
THA,Thailand,34.0,55.24,94.0,53.46279579107712
TJK,Tajikistan,19.0,39.06,100.0,
TKM,Turkmenistan,17.0,25.82,99.0,
TLS,Timor-Leste,44.0,84.49,,
TON,,,71.29,99.0,
TTO,Trinidad and Tobago,41.0,76.54,98.0,
TUN,Tunisia,39.0,50.11,84.0,57.533002202628126
TUR,Turkey,34.0,33.97,97.0,47.36824821320826
TWN,Taiwan,67.0,75.54,99.0,
