respondent_state,investor_home_state,economic_sector,economic_subsector,summary_of_dispute,amount_claimed_raw,year,amount_claimed_musd,respondent_state_iso3,investor_home_state_iso3,sector_A,sector_B,sector_C,sector_D,sector_E,sector_F,sector_G,sector_H,sector_I,sector_J,sector_K,sector_L,sector_M,sector_N,sector_O
Mexico,United States of America,L - Real estate activities,68 - Real estate activities,"Claims arising out of the enforcement of a judicial decision ordering the return of certain land to its original owners, thus requiring the eviction of residents of a tourist/residential development built upon such land, many of whom were Americans.",75.00 USD,2001,75.0,MEX,USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hungary,United Kingdom,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of Hungary's alleged failure to comply with a sale agreement of certain State-owned power facilities.,Data not available,2001,,HUN,GBR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,United States of America,L - Real estate activities,68 - Real estate activities,"Claims arising out of the cancellation of a project for the development of a residential housing complex, and the subsequent transfer of the project's property to the City of Almaty without compensation, on the basis that the land concerned was required for a national arboretum.",13.50 USD,2001,13.5,KAZ,USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Argentina,United States of America,"E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply;
37 - Sewerage","Claims arising out of Argentina's alleged interference with the tariff regime applicable to claimant's investment, as well as other alleged breaches of obligations under a water concession agreement.",685.00 USD,2001,685.0,ARG,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Guyana,United Kingdom,"A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities",Claims arising out of the repayment of outstanding debt related to the expropriation of a sugar enterprise in the 1970s.,6.80 GBP (9.90 USD),2001,9.9,GUY,GBR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,United States of America,K - Financial and insurance activities,66 - Activities auxiliary to financial service and insurance activities,Claims arising out of the termination of a concession agreement for use and management of the State's shareholding in an oil refinery.,179.00 EUR (224.90 USD),2001,224.9,KAZ,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Argentina,United States of America,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of Argentina's suspension/termination of the claimant right to calculate tariffs in US dollars and to make inflation adjustments.,261.10 USD,2001,261.1,ARG,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Poland,Spain,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"46 - Wholesale trade, except of motor vehicles and motorcycles","Claims arising out of the Polish tax authority’s blocking of funds on the claimants’ bank accounts, related to the collection of corporate taxes allegedly due to the state.",6.70 USD,2001,6.7,POL,ESP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,United States of America,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of certain tax assessments allegedly imposed by Argentinean provinces in respect to a gas transportation company in which the claimants participated through investments in various corporate arrangements, as well as the Government's alleged refusal to allow tariff adjustments in accordance with the US Producer Price Index.",582.00 USD,2001,582.0,ARG,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,United States of America,B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,"Claims arising out of claimants' alleged investment in the Soldado Fields, the site of an offshore oil and gas development and production project in Trinidad and Tobago, after the government sought to recommence resource production by soliciting the participation of foreign investors in the region.",,2001,,TTO,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Belgium,"B - Mining and quarrying;
Tertiary - K - Financial and insurance activities","8 - Other mining and quarrying;
64 - Financial service activities, except insurance and pension funding","Claims arising out of alleged retaliatory actions undertaken by the respondent against claimants' investments, following the enforcement of a previous arbitral award in claimants' favour.",2.90 USD,2001,2.9,BDI,BEL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,Italy,F - Construction,41 - Construction of buildings,Claims arising out of a mosque construction project in the UAE.,Data not available,2001,,ARE,ITA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chile,Malaysia,L - Real estate activities,68 - Real estate activities,Claims arising out of the Government's denial of a zoning modification allegedly necessary for the claimant to execute a residential development project in Chile.,20.00 USD,2001,20.0,CHL,MYS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Romania,United States of America,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of a privatization agreement concerning the acquisition, management, operation and disposition of a substantial steel mill with associated and other assets located in Romania.",143.50 USD,2001,143.5,ROU,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Latvia,Sweden,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of a dispute over the purchase price to be paid under a contract entered into between claimant's subsidiary and a State enterprise for the building of a cogeneration plant in Latvia.,7.00 LVL (12.30 USD),2001,12.3,LVA,SWE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
