respondent_state,investor_home_state,economic_sector,economic_subsector,summary_of_dispute,amount_claimed_raw,year,amount_claimed_musd,respondent_state_iso3,investor_home_state_iso3,sector_A,sector_B,sector_C,sector_D,sector_E,sector_F,sector_G,sector_H,sector_I,sector_J,sector_K,sector_L,sector_M,sector_N,sector_O
Argentina,Spain,"F - Construction;
Tertiary - H - Transportation and storage","42 - Civil engineering;
52 - Warehousing and support activities for transportation",,Data not available,2023,,ARG,ESP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mexico,United States of America,"A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities","Claims arising out of the government’s decision to seize 280 hectares of agricultural land owned by the claimant and to transfer the land rights to El Ejido San Isidro, a group of local farmers.",3000.00 USD,2023,3000.0,MEX,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Switzerland,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,DEU,CHE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,Albania,F - Construction,41 - Construction of buildings,,110.00 USD,2023,110.0,MKD,ALB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
North Macedonia,Italy,"E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",,Data not available,2023,,MKD,ITA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Armenia,United States of America,B - Mining and quarrying,7 - Mining of metal ores,,Data not available,2023,,ARM,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Lebanon,K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the decision of the Central Bank of Curaçao and Sint Maarten to take over companies that are part of the Ennia insurance group in which the claimant had invested, allegedly expropriating Ennia’s assets and depleting its value.",132.90 USD,2023,132.9,NLD,LBN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
United States of America,Canada,"H - Transportation and storage;
Tertiary - F - Construction","49 - Land transport and transport via pipelines;
42 - Civil engineering","Claims arising out of the incoming president’s executive order in 2021 revoking a 2019 presidential permit to construct the Keystone XL Pipeline, a proposed crude oil pipeline from Alberta (Canada) to Nebraska (United States).",1300.00 CAD (961.40 USD),2023,961.4,USA,CAN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United States of America,L - Real estate activities,68 - Real estate activities,,Data not available,2023,,MEX,USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Honduras,United States of America,F - Construction,41 - Construction of buildings,,Data not available,2023,,HND,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,United States of America,F - Construction,41 - Construction of buildings,,Data not available,2023,,ARG,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Norway,Latvia,"A - Agriculture, forestry and fishing",3 - Fishing and aquaculture,,Data not available,2023,,NOR,LVA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Spain,K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security",,Data not available,2023,,PAN,ESP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Venezuela, Bolivarian Republic of",Spain,"K - Financial and insurance activities;
Tertiary - K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding;
65 - Insurance, reinsurance and pension funding, except compulsory social security",,Data not available,2023,,VEN,ESP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Georgia,Switzerland,L - Real estate activities,68 - Real estate activities,,Data not available,2023,,GEO,CHE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lithuania,Belarus,C - Manufacturing,20 - Manufacture of chemicals and chemical products,,Data not available,2023,,LTU,BLR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Belize,United Kingdom,F - Construction,42 - Civil engineering,,Data not available,2023,,BLZ,GBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Colombia,Spain,"E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply",,Data not available,2023,,COL,ESP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mexico,Canada,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,MEX,CAN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,China,C - Manufacturing,24 - Manufacture of basic metals,,Data not available,2023,,TTO,CHN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,United States of America,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2023,,MEX,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Georgia,United States of America,C - Manufacturing,33 - Repair and installation of machinery and equipment,,Data not available,2023,,GEO,USA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Germany,H - Transportation and storage,52 - Warehousing and support activities for transportation,,Data not available,2023,,ALB,DEU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United States of America,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,120.00 USD,2023,120.0,MEX,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mexico,Canada,B - Mining and quarrying,7 - Mining of metal ores,,Data not available,2023,,MEX,CAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Switzerland,B - Mining and quarrying,5 - Mining of coal and lignite,,Data not available,2023,,COL,CHE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Canada,B - Mining and quarrying,7 - Mining of metal ores,"Claims arising out of the alleged failure of Mexican courts to reach a decision on the merits and provide relief to the claimant after 10 years of legal disputes with DynaResource, Inc., concerning the claimant’s stake in DynaResource de Mexico, S.A. de C.V., and the San José de Gracia gold mine. According to the claimant, the treatment and inaction by the Mexican courts have resulted in a judicial expropriation of its investment in the San José de Gracia gold mining project.",100.00 USD,2023,100.0,MEX,CAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Germany,L - Real estate activities,68 - Real estate activities,,Data not available,2023,,CRI,DEU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saudi Arabia,Türkiye,F - Construction,42 - Civil engineering,,Data not available,2023,,SAU,TUR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",Netherlands,B - Mining and quarrying,7 - Mining of metal ores,,Data not available,2023,,VEN,NLD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Malaysia,"F - Construction;
Tertiary - H - Transportation and storage","42 - Civil engineering;
52 - Warehousing and support activities for transportation",,Data not available,2023,,ARG,MYS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Honduras,Panama,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,HND,PAN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Honduras,Mexico,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2023,,HND,MEX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Venezuela, Bolivarian Republic of",United Kingdom,C - Manufacturing,10 - Manufacture of food products,,Data not available,2023,,VEN,GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,United Kingdom,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2023,,DNK,GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Germany,United Kingdom,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2023,,DEU,GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
European Union,"Germany;
Denmark;
United Kingdom",C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2023,,,DEU; DNK; GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,"Korea, Republic of",B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,,Data not available,2023,,NGA,KOR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,United Kingdom,F - Construction,41 - Construction of buildings,,Data not available,2023,,AZE,GBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Belgium,Libya,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2023,,BEL,LBY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bosnia and Herzegovina,India,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2023,,BIH,IND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,France,F - Construction,42 - Civil engineering,,Data not available,2023,,SEN,FRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mexico,United States of America,H - Transportation and storage,49 - Land transport and transport via pipelines,,Data not available,2023,,MEX,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Honduras,Guatemala,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,HND,GTM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Italy,F - Construction,41 - Construction of buildings,,Data not available,2023,,CMR,ITA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Morocco,France,"E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery;
37 - Sewerage",,Data not available,2023,,MAR,FRA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Viet Nam,China,F - Construction,42 - Civil engineering,,Data not available,2023,,VNM,CHN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Honduras,United States of America,L - Real estate activities,68 - Real estate activities,"Claims arising out of the government’s actions to repeal the legal framework for special economic zones known as “ZEDE”, allegedly interfering with the Próspera ZEDE in which the claimant had invested.",Data not available,2023,,HND,USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Canada,United States of America,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,"Claims arising out of the government’s 2022 decision to refuse authorization for the construction of the Énergie Saguenay Project, a liquefied natural gas facility project that the claimant had invested in through Symbio. The government’s decision also allegedly stalled the claimant’s parallel natural gas pipeline project in Quebec (the Gazoduq Project). According to the claimant, the government’s rejection of the projects, after a federal agency’s environmental assessment report, and related actions by the province of Quebec were arbitrary and discriminatory.",20000.00 USD,2023,20000.0,CAN,USA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,Ukraine,"C - Manufacturing;
Tertiary - R - Arts, entertainment and recreation;
Tertiary - L - Real estate activities","24 - Manufacture of basic metals;
93 - Sports activities and amusement and recreation activities;
68 - Real estate activities",,Data not available,2023,,RUS,UKR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,United States of America,H - Transportation and storage,52 - Warehousing and support activities for transportation,,Data not available,2023,,MEX,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United States of America,B - Mining and quarrying,7 - Mining of metal ores,,Data not available,2023,,MEX,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Switzerland,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,ITA,CHE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Myanmar,Singapore,J - Information and communication,61 - Telecommunications,,Data not available,2023,,MMR,SGP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tanzania, United Republic of","United Kingdom;
Mauritius",I - Accommodation and food service activities,55 - Accommodation,,Data not available,2023,,TZA,GBR; MUS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Peru,Mexico,J - Information and communication,61 - Telecommunications,,Data not available,2023,,PER,MEX,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Algeria,Switzerland,H - Transportation and storage,52 - Warehousing and support activities for transportation,,Data not available,2023,,DZA,CHE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tunisia,United Kingdom,B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,,Data not available,2023,,TUN,GBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Singapore,B - Mining and quarrying,7 - Mining of metal ores,,198202.40 USD,2023,198202.4,AUS,SGP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Singapore,B - Mining and quarrying,5 - Mining of coal and lignite,,Data not available,2023,,AUS,SGP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Netherlands,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2022,,ETH,NLD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Slovenia,Austria,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of Slovenia’s 2022 law limiting and distributing currency risk among creditors and borrowers of loans in Swiss francs, which requires lenders to adjust CHF loan agreements concluded between 2004 and 2010.",Data not available,2022,,SVN,AUT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Romania,Cyprus,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2022,,ROU,CYP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mexico,United States of America,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2022,,MEX,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Peru,United States of America,B - Mining and quarrying,9 - Mining support service activities,"Claims arising out of the decision of PeruPetro, a state-owned petroleum company, to conduct a public bidding process for operating Blocks III and IV of the Talara Basin crude oil reserve, which allegedly deprived the claimant’s company Baspetrol of its right to negotiate directly with PeruPetro. According to the claimant, Baspetrol was allegedly unfairly excluded from the bidding process and PeruPetro awarded the licences to local company Graña y Montero S.A., allegedly as part of a corruption scheme involving the then Government.",Data not available,2022,,PER,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Lithuania,"A - Agriculture, forestry and fishing",3 - Fishing and aquaculture,"Claims arising out of Government authorities’ interference with the claimant’s snow crab harvesting business, including through the arrest of the claimant’s fishing vessels “Jūros Vilkas” and the dispossession of the claimant’s fishing rights.",Data not available,2022,,NOR,LTU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,"United Kingdom;
Malta",B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,"Claims arising out of the Government’s 2022 mining law amendment banning the use of hydraulic stimulation for the exploration and exploitation of hydrocarbons, as well as an earlier decision to require the claimant’s joint venture to conduct an environmental impact assessment for the use of low-volume hydraulic stimulation at the Petišovci gas field.",500.00 EUR (512.80 USD),2022,512.8,SVN,GBR; MLT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,Netherlands,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2022,,BGR,NLD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,"Iran, Islamic Republic of",Data not available,Data not available,,Data not available,2022,,AZE,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,"Algeria;
France","M - Professional, scientific and technical activities",70 - Activities of head offices; management consultancy activities,,Data not available,2022,,QAT,DZA; FRA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Panama,United States of America,I - Accommodation and food service activities,55 - Accommodation,,147.00 USD,2022,147.0,PAN,USA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Colombia,United Kingdom,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2022,,COL,GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Romania,United Kingdom,B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,,Data not available,2022,,ROU,GBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Chile,B - Mining and quarrying,7 - Mining of metal ores,Claims arising out of the alleged failure of state-owned mining company Enami EP to comply with mining cooperation agreements that were concluded with the claimant Codelco (Corporación Nacional del Cobre de Chile).,Data not available,2022,,ECU,CHL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,United States of America,B - Mining and quarrying,7 - Mining of metal ores,Claims arising out of Mexican tax authorities’ non-payment of VAT refunds allegedly due to the claimant related to a royalty agreement between Coeur Mexicana and another company for the sale and purchase of Palmarejo gold production.,1000.00 MXN (51.30 USD),2022,51.3,MEX,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Spain,"F - Construction;
Tertiary - L - Real estate activities","41 - Construction of buildings;
68 - Real estate activities","Claims arising out the Government’s alleged failure to provide the necessary facilities and infrastructure in the areas of the claimant’s residential construction projects near Rabat, as well as Government authorities’ administrative inaction related to a real estate project in Tangier.",407.00 EUR (429.60 USD),2022,429.6,MAR,ESP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mexico,Netherlands,"E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply","Claims arising out of Mexican state entities’ termination of a public-private partnership agreement with the claimant’s subsidiary, Aguas de Rosarito, related to the development of a seawater desalination plant.",57.60 USD,2022,57.6,MEX,NLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Serbia,"Cyprus;
Canada",L - Real estate activities,68 - Real estate activities,,Data not available,2022,,SRB,CAN; CYP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
India,Mauritius,J - Information and communication,61 - Telecommunications,,Data not available,2022,,IND,MUS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mexico,United States of America,H - Transportation and storage,52 - Warehousing and support activities for transportation,"Claims arising out of the Government’s revocation of two concession contracts related to metered parking systems granted in 2018 to Soluciones Pagomet, a local company in which the claimant held shares.",Data not available,2022,,MEX,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
France,Germany,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2022,,FRA,DEU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,Lithuania,B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,"Claims arising out of the Government’s alleged wrongful acts and omissions related to the investments of the claimants’ late father Denis Jeršov in “Petrol” and “Petrol Holding”, including the Government’s failure to halt the fraudulent sale of Petrol shares to a third party. According to the claimants, this led to Jeršov’s loss of control over Petrol, the bankruptcy Petrol Holding and the destruction of Jeršov’s investments.",1000.00 USD,2022,1000.0,BGR,LTU,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",Netherlands,C - Manufacturing,23 - Manufacture of other non-metallic mineral products,,Data not available,2022,,VEN,NLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",Spain,C - Manufacturing,10 - Manufacture of food products,,Data not available,2022,,VEN,ESP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Egypt,C - Manufacturing,"29 - Manufacture of motor vehicles, trailers and semi-trailers","Claims arising out of the Government’s measures related to the automotive industry, which allegedly damaged the claimant’s investments in the assembly and distribution of automotive vehicles.",Data not available,2022,,DZA,EGY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,Jordan,C - Manufacturing,21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,,Data not available,2022,,IRQ,JOR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,Israel,L - Real estate activities,68 - Real estate activities,Claims arising out of a court ruling which allegedly resulted in the expropriation of land plots intended for a development project in which the claimant had invested.,133.00 CZK (6.19 USD),2022,6.19,CZE,ISR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Costa Rica,"Venezuela, Bolivarian Republic of",J - Information and communication,61 - Telecommunications,"Claims arising out of the decision by the national electricity and telecommunications provider, Instituto Costarricense de Electricidad, not to renew a contract for the distribution of mobile phone products concluded with the claimant’s local telecommunications company, V-NET. According to the claimant, the contract was arbitrarily transferred to a competitor of V-NET.",25.00 USD,2022,25.0,CRI,VEN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sweden,China,J - Information and communication,61 - Telecommunications,"Claims arising out of the alleged exclusion of Huawei Sweden from participation in an auction conducted by the national telecommunications regulator concerning licences for the Swedish 5G Network. According to the claimant, the mandatory requirements for auction participants included a prohibition to use any equipment or services from Huawei for 5G networks and phase out those in use for existing 3G and 4G networks by 2025.",5200.00 SEK (568.90 USD),2022,568.9,SWE,CHN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kyrgyzstan,United States of America,B - Mining and quarrying,7 - Mining of metal ores,"Claims arising out of the Government’s 2019 decision to ban uranium mining, halting the claimant’s mining project at the Kamushanovskoye uranium deposit.",Data not available,2022,,KGZ,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,"Germany;
Portugal",K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2022,,VNM,DEU; PRT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Viet Nam,United States of America,F - Construction,41 - Construction of buildings,Claims arising out of government authorities’ conduct related to bankruptcy proceedings initiated against ITACO over debt allegedly owned to a third party by a subcontractor of ITACO that was involved in the construction of an industrial park.,Data not available,2022,,VNM,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ecuador,China,B - Mining and quarrying,7 - Mining of metal ores,Claims arising out of the Government’s conduct related to local community protests and illegal mining activities in the Río Blanco mining concession area of the claimant’s local subsidiary as well as court proceedings suspending the claimant’s mining operations.,480.00 USD,2022,480.0,ECU,CHN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Israel,F - Construction,42 - Civil engineering,,Data not available,2022,,ETH,ISR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ecuador,United States of America,"R - Arts, entertainment and recreation",92 - Gambling and betting activities,,100.00 USD,2022,100.0,ECU,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,France,H - Transportation and storage,52 - Warehousing and support activities for transportation,,Data not available,2022,,GNQ,FRA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Panama,United States of America,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of the Government’s 2017 termination of concession contracts for the construction and operation of three hydroelectric plants at the Gatú and Chorrillo rivers, in which the claimant had invested.",150.00 USD,2022,150.0,PAN,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",Netherlands,K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security",Claims arising out of the Government’s 2020 resolution placing the claimants’ insurance company Multinacional de Seguros under special administration.,350.00 USD,2022,350.0,VEN,NLD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bahrain,Malaysia,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2022,,BHR,MYS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Albania,Bulgaria,J - Information and communication,60 - Programming and broadcasting activities,,Data not available,2022,,ALB,BGR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Peru,Canada,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of the constitutional court’s dismissal of a case brought by the claimant’s local subsidiary Scotiabank Peru challenging the accrual of default interest on long-disputed taxes imposed by Peru’s tax authority SUNAT. According to the claimant, the default interest was improperly applied on tax liabilities during a period of delay caused by the state in administrative proceedings.",Data not available,2022,,PER,CAN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ukraine,Cyprus,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2022,,UKR,CYP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pakistan,Türkiye,"E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply",,Data not available,2022,,PAK,TUR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,China,J - Information and communication,61 - Telecommunications,,Data not available,2022,,SAU,CHN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Romania,Netherlands,F - Construction,41 - Construction of buildings,,262.20 EUR (273.10 USD),2022,273.1,ROU,NLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Viet Nam,China,F - Construction,42 - Civil engineering,,Data not available,2022,,VNM,CHN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Iraq,Lebanon,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2022,,IRQ,LBN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Moldova, Republic of",Liechtenstein,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of government agencies’ alleged measures to restrict the claimants’ access to the country’s natural gas network and the setting of unfair tariffs for the claimants’ natural gas distribution service.,62.00 USD,2022,62.0,MDA,LIE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,United States of America,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,88.30 USD,2022,88.3,DOM,USA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",Switzerland,I - Accommodation and food service activities,55 - Accommodation,,Data not available,2022,,TZA,CHE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Colombia,United States of America,H - Transportation and storage,52 - Warehousing and support activities for transportation,,10000.00 USD,2022,10000.0,COL,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",United Kingdom,J - Information and communication,"62 - Computer programming, consultancy and related activities",,1500.00 USD,2022,1500.0,VEN,GBR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Portugal,Mauritius,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of the Government’s alleged failure to pay compensation owed to the claimants related to the government’s bailout and restructuring of Banco Espírito Santo, to which the claimants had provided loans.",Data not available,2022,,PRT,MUS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Senegal,Mauritius,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2022,,SEN,MUS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Slovenia,Luxembourg,B - Mining and quarrying,5 - Mining of coal and lignite,"Claims arising out of the Government’s alleged expropriatory and discriminatory treatment of the claimant’s investment in the coal mining company Premogovnik Velenje, under the management of the state-owned Holding Slovenske Elektrarne (HSE).",60.00 EUR (63.20 USD),2022,63.2,SVN,LUX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",Denmark,"A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities",,Data not available,2022,,TZA,DNK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,United States of America,B - Mining and quarrying,5 - Mining of coal and lignite,,Data not available,2022,,CAN,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Germany,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector.,Data not available,2022,,ESP,DEU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Panama,United States of America,"E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply",,Data not available,2022,,PAN,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
